group_cq_score,condition
56.994990230778825,control
61.45229712565563,control
45.02054106727748,control
58.25389662664492,control
61.91006343359436,control
53.44149637314695,control
61.29137078388982,control
59.46531276186293,control
58.992913151841094,control
63.684563134009736,control
52.856441143886144,control
60.428052067138566,control
55.826347962031775,control
59.368597875887815,control
66.6321528122369,control
53.60073452467758,control
52.31140454133062,control
51.02049087537134,control
63.73627575246445,control
57.690735217859554,control
57.6864060809509,real
61.27255464598515,real
53.986200298434355,real
56.62497733029292,real
55.3209388117334,real
51.201352953787406,real
58.88286176794101,real
54.09048278689167,real
64.93098362109015,real
59.33318514071715,real
42.8379517974559,real
60.11497883196509,real
52.95876358876541,real
51.994808188170396,real
50.34252413858346,real
50.75664293566835,real
60.71443044853885,real
59.74578966074972,real
70.20027277747784,real
60.399882125828015,real
43.617575734893336,reverse
58.19891583294377,reverse
55.826425512193055,reverse
56.3492614998311,reverse
54.585126479814576,reverse
47.31080534107559,reverse
47.33070654046017,reverse
46.43551665313812,reverse
57.46705327597603,reverse
54.22294493707483,reverse
41.461236817964775,reverse
41.63568191227708,reverse
42.65924598324156,reverse
52.17231620466113,reverse
51.28387736438003,reverse
46.073635072475355,reverse
45.0020344953915,reverse
52.00323960026873,reverse
50.70863206884832,reverse
54.11728649310723,reverse
47.16850770078996,mid
60.955169761444495,mid
55.50254892990826,mid
62.191314473653776,mid
54.85637709969407,mid
59.845244770071005,mid
58.350005373300235,mid
59.462117401205035,mid
64.13401021538698,mid
59.661447012674316,mid
47.525884600216386,mid
60.45700720376564,mid
57.82258799298654,mid
55.1405427812345,mid
51.06817909261096,mid
55.85638285750504,mid
57.155361030851125,mid
50.706473614636764,mid
61.375576802704046,mid
67.76316898315909,mid
