cq_score,condition
11.566015535539961,control
8.77318153720558,control
10.762558731642029,control
9.859206882128502,control
5.908738504146139,control
4.896054003348711,control
6.0071569470911985,control
5.942298277847646,control
8.083574017979103,control
4.139035345043749,control
6.127021255867337,control
5.058452951805775,control
7.413714723255956,control
8.211972755116077,control
4.964494926160762,control
4.124442764380227,control
5.246852887162708,control
4.316032836226516,control
5.066730390810325,control
7.795425636713868,control
7.287481448495449,control
5.181793041992519,control
5.484660212829879,control
7.193796254635983,control
6.116607150006769,control
7.866865438261058,control
6.963119166388063,control
5.240641862269275,control
8.46870611600336,control
4.307431431070075,control
6.673212076729909,control
5.172608660748143,control
9.683593421294743,control
8.253153464698554,control
6.251073536803828,control
6.788297561112428,control
6.099153264562183,control
5.49071630989296,control
7.019951422892808,control
8.723040361725555,control
7.598588810313094,control
6.489341872881818,control
8.424302441877085,control
8.118812860436812,control
0.0,control
16.465330740338374,control
12.720806829262504,control
8.938790593076945,control
0.0,control
0.0,control
4.122874062324119,control
1.0,control
8.521846176277773,control
5.126272148934593,control
9.245385023430284,control
9.07753080149109,control
4.833886798773769,control
5.7671357745453085,control
9.007605286033467,control
6.429803465320795,control
6.239088682371335,control
4.55328076877964,control
5.2543014268743224,control
8.945059531696796,control
5.416609920468169,control
8.715905255735638,control
8.573575549931189,control
6.507556151503113,control
11.576749090185082,control
9.270422311882962,control
10.940912948233333,control
7.004246813667552,control
7.184829817179164,control
2.748490948422545,control
5.013016965493877,control
8.169079138947954,control
6.211663183036206,control
4.35444054945267,control
8.768528875546092,control
3.781350214796653,control
4.007855678047791,control
5.639512155866717,control
8.31201653245524,control
6.710116635364992,control
6.810494939035566,control
8.34202971413859,control
7.971783029780648,control
10.603677257070936,control
10.050510526176136,control
6.67797094649152,control
4.754509065499715,control
5.657291950690144,control
4.084784721590286,control
7.94195395074002,control
7.182786694100795,control
5.943308879992778,control
5.03940524634138,control
4.772883374004548,control
6.823903510938207,control
8.866240769438582,control
11.943653015828641,control
10.910402685685263,control
12.490049743695698,control
10.255935056124144,control
