dx,dy,dr
-5,1,0.22222222222222276
-11,3,0.0
-11,3,0.23148148148148096
-11,2,0.12962962962962932
-11,1,-0.06481481481481488
-2,2,0.4166666666666665
-3,1,0.28703703703703765
-2,1,0.43518518518518423
-6,3,0.48148148148148184
-7,3,0.39814814814814836
3,1,0.19444444444444375
8,-2,0.28703703703703765
9,-2,0.20370370370370328
5,1,0.3518518518518525
4,2,0.46296296296296324
-3,-7,-0.13888888888888928
-3,-7,0.02777777777777768
-7,-12,-0.26851851851851816
-5,-14,-0.018518518518517713
-7,-10,-0.1388888888888884
-2,-6,0.1759259259259256
-4,-8,0.37037037037037024
-4,-10,0.12962962962962976
-2,-12,0.47222222222222276
-5,-11,0.13888888888888928
1,1,0.3148148148148149
-1,-1,0.34259259259259256
3,2,0.3981481481481479
3,2,0.4907407407407405
2,-1,0.2777777777777777
-2,3,0.22222222222222232
-6,3,0.1388888888888884
-6,9,0.20833333333333348
-2,8,0.08333333333333348
-2,7,0.06481481481481488
2,2,0.21296296296296324
3,5,0.3425925925925921
2,7,0.44444444444444464
6,8,0.38888888888888884
7,7,0.17592592592592604
4,-1,-0.009259259259259078
9,2,0.20370370370370372
8,-2,0.23611111111111116
8,0,0.30555555555555536
9,0,0.11111111111111116
2,4,0.14814814814814792
6,0,0.21296296296296235
6,-1,-0.0833333333333326
2,1,0.06666666666666732
2,1,0.11111111111111072
2,4,0.19444444444444464
4,3,0.31481481481481444
4,2,0.2592592592592595
2,0,0.5222222222222221
5,1,0.10185185185185208
0,0,0.046296296296296724
-2,3,0.10185185185185208
-2,3,0.3425925925925921
0,-1,0.4555555555555548
3,0,-0.009259259259258634
3,-2,0.1944444444444442
3,-2,-0.11111111111111072
7,-2,0.08888888888888902
5,-1,-0.046296296296295836
7,-1,0.11111111111111116
0,-2,0.24074074074074092
0,-1,0.21296296296296324
0,-1,0.20000000000000018
0,1,0.44444444444444464
0,0,0.3240740740740744
-3,0,0.046296296296296724
-3,1,0.32407407407407396
-7,1,0.11111111111111116
-5,2,0.4907407407407405
-7,1,0.21296296296296324
5,1,-0.08888888888888857
11,3,-0.10185185185185164
11,3,0.1759259259259256
11,4,0.09259259259259256
11,2,-0.07407407407407396
0,0,-0.12222222222222223
0,0,0.14814814814814836
0,1,0.23148148148148184
0,0,0.07407407407407351
0,0,0.32407407407407396
-5,-1,-0.03333333333333366
-11,-3,0.25
-11,-2,0.055555555555556246
-11,-4,-0.018518518518519045
-11,-2,0.3981481481481479
-11,-4,-0.2314814814814814
-10,-6,-0.18518518518518468
-10,-4,-0.2592592592592595
-9,-3,-0.18518518518518512
-8,-4,-0.009259259259259078
-9,-2,-0.009259259259259522
-8,-4,0.092592592592593
-8,-3,0.04629629629629717
-8,2,0.38888888888888884
-7,0,0.4537037037037033
2,2,0.22222222222222188
2,2,0.2777777777777777
2,1,0.3055555555555567
1,5,0.574074074074074
1,4,0.46296296296296235
-8,-1,-0.1944444444444442
-8,1,-0.342592592592593
-8,-3,-0.3518518518518525
-7,-4,-0.22222222222222188
-8,-1,0.08333333333333304
-8,0,0.018518518518519045
-7,3,0.20370370370370328
-7,-1,-0.06481481481481577
-9,-2,0.22222222222222188
-7,-2,0.2777777777777781
0,1,0.21296296296296324
1,2,0.5462962962962963
1,2,0.28703703703703676
-2,2,0.44444444444444375
1,-1,0.19444444444444509
-1,0,-0.3888888888888893
-2,-3,-0.6296296296296293
0,1,-0.20833333333333304
0,1,-0.6018518518518516
2,-1,-0.4444444444444451
9,1,-0.15740740740740744
8,-4,-0.37962962962962976
8,2,-0.26388888888888884
8,1,-0.07407407407407351
7,-3,-0.2870370370370372
10,1,0.23148148148148184
10,-1,0.24999999999999956
8,1,-0.0555555555555558
8,0,0.5277777777777781
5,-2,0.15740740740740788
1,1,-0.4259259259259265
2,1,-0.19444444444444464
0,2,-0.3518518518518521
0,1,-0.5648148148148153
-2,0,-0.407407407407407
8,4,-0.08333333333333393
7,5,0.21296296296296324
7,7,-0.09259259259259256
9,2,-0.20370370370370372
7,5,-0.25925925925925863
7,3,0.34259259259259256
5,4,0.4074074074074079
7,5,0.2592592592592595
9,1,0.3611111111111116
9,5,0.14814814814814836
8,4,-0.23148148148148096
8,6,-0.5648148148148144
8,2,-0.22222222222222276
7,3,-0.14444444444444438
8,6,-0.2592592592592595
0,0,0.13888888888888928
0,3,-0.2870370370370372
0,-4,-0.22222222222222232
0,-1,-0.0555555555555558
0,3,-0.11111111111111072
-8,-4,0.37037037037037024
-8,-3,0.27777777777777724
-8,-6,4.440892098500626e-16
-7,-4,0.08888888888888857
-8,-3,0.1481481481481488
11,0,-0.5185185185185186
10,1,-0.3148148148148149
10,2,-0.49074074074074137
9,2,-0.25555555555555554
8,0,-0.6018518518518516
0,-3,-0.3796296296296293
0,-3,-0.22222222222222188
0,-1,-0.37962962962962976
0,-2,-0.21111111111111125
0,-3,-0.5092592592592586
-11,-3,0.13888888888888928
-10,-4,0.092592592592593
-10,-3,0.1111111111111116
-9,-4,0.04444444444444429
-8,-3,0.092592592592593
-7,-4,0.23148148148148184
-9,-4,0.5492202729044839
-10,-6,0.4166666666666665
-12,-3,0.25
-7,-4,0.3444444444444441
-3,1,-0.34259259259259256
-6,-1,-0.09259259259259212
-9,-3,-0.06481481481481488
-8,3,-0.092592592592593
-2,-1,-0.3111111111111118
4,5,-0.5740740740740744
3,3,-0.6418128654970761
1,3,-0.4814814814814814
4,6,-0.342592592592593
5,3,-0.6555555555555559
-5,-1,0.4166666666666665
-5,0,0.5146198830409356
-5,0,0.5555555555555562
-3,2,0.38888888888888795
-5,2,0.6574074074074066
-6,-5,-0.5277777777777781
-4,-1,0.04629629629629717
-6,0,0.26851851851851904
-4,0,-0.12962962962962976
-4,1,0.06481481481481399
-1,-4,-0.9444444444444446
1,-1,-0.4683235867446385
-1,0,-0.2870370370370372
-1,-2,-0.5185185185185177
1,-1,-0.5925925925925926
-4,-4,-0.06481481481481488
0,0,0.47124756335282614
1,0,0.5
-1,-3,0.23148148148148096
-2,-2,0.6222222222222222
3,1,-0.4351851851851851
6,1,0.0
9,3,0.5
8,0,-0.1944444444444442
2,1,-0.022222222222222143
7,5,-0.37037037037037024
6,1,-0.47124756335282614
8,3,0.0
9,3,-0.42592592592592515
4,3,-0.6444444444444444
4,4,0.4351851851851851
0,0,0.5467836257309937
-1,1,0.7129629629629628
1,1,0.4351851851851851
2,1,0.638888888888888
6,5,-0.12962962962962976
4,5,0.32407407407407396
6,3,0.3240740740740735
4,2,-0.009259259259259522
4,2,-0.018518518518519045
2,1,-0.5648148148148149
4,5,-0.22270955165691975
7,2,-0.3888888888888893
3,1,-0.44444444444444464
2,1,-0.657407407407407
5,1,0.9537037037037033
5,4,0.5219298245614037
5,3,0.28703703703703765
3,2,0.18888888888888955
5,1,0.675925925925926
0,0,-0.0370370370370372
0,0,0.0185185185185186
0,-1,0.10185185185185253
0,-2,-0.32222222222222197
0,-2,-0.009259259259259078
-5,-1,-0.9907407407407405
-5,-4,-0.5034113060428851
-5,-4,-0.18518518518518512
-3,-4,-0.5111111111111115
-5,-3,-0.6851851851851851
7,4,0.9907407407407405
9,0,0.480994152046784
10,2,0.4259259259259265
12,1,0.6203703703703702
7,2,0.5648148148148144
0,-2,0.02777777777777768
0,-4,-0.1388888888888884
0,-2,0.08333333333333348
0,-3,0.11111111111111072
0,-1,-0.009259259259259522
-7,-6,-0.9629629629629628
-9,-4,-0.6198830409356724
-10,-4,-0.342592592592593
-12,-4,-0.5092592592592595
-7,-3,-0.574074074074074
-13,-7,-0.12037037037037068
-13,-1,0.13888888888888795
-12,2,0.07407407407407529
-12,0,-0.0370370370370372
-13,-2,-0.033333333333333215
-9,0,0.0370370370370372
-10,2,0.3240740740740735
-11,2,-0.1018518518518512
-9,1,-0.1481481481481488
-8,2,-0.36666666666666625
4,7,0.15740740740740788
3,3,0.18518518518518556
1,0,-0.17592592592592649
3,1,-0.1111111111111116
5,4,-0.33333333333333304
