Non_redun,CQ,ego_ego_overlap,ego_alter_overlap,condition,roundID
2.7777777777777777,6.356645773249302,0.1514705882352941,0.1733822601010101,control,1
2.7222222222222223,6.000354038302903,0.13964285714285712,0.1752970177970178,real,1
2.5,5.249909250387136,0.19387125220458554,0.19724164724164725,reverse,1
2.888888888888889,5.619904271506417,0.13329725829725828,0.14416666666666664,mid,1
2.5,7.17809694108299,0.1616468253968254,0.16494107744107742,control,2
2.611111111111111,7.31822988997736,0.13819669913419913,0.12015151515151516,real,2
2.3333333333333335,7.237007250866303,0.15220057720057723,0.15254629629629632,reverse,2
2.888888888888889,7.239682445537792,0.12804683742183742,0.11353535353535353,mid,2
2.611111111111111,5.4382592778236445,0.14202380952380952,0.11072390572390574,control,3
2.0555555555555554,6.440119175791582,0.15646419552669552,0.12815656565656566,real,3
2.5,6.418182001019506,0.15323725981620717,0.13497474747474747,reverse,3
2.7222222222222223,6.499236247614194,0.144140989729225,0.16042929292929292,mid,3
2.2777777777777777,6.81149789632448,0.139172335600907,0.1257034632034632,control,4
2.611111111111111,6.876106288139655,0.13568851783137498,0.11767676767676767,real,4
2.9444444444444446,6.54408627284064,0.11371753246753247,0.1020923520923521,reverse,4
2.888888888888889,7.096285514138534,0.1315492588219861,0.09823232323232324,mid,4
2.3333333333333335,7.205330088200289,0.14954844006568144,0.17378193701723113,control,5
2.111111111111111,6.865203392636136,0.13379289792333274,0.2030976430976431,real,5
2.0,6.894667565529461,0.13812715062715064,0.1499143217893218,reverse,5
2.2777777777777777,7.039635857826578,0.1299795186891961,0.17187420422714542,mid,5
2.8333333333333335,6.094102041356871,0.14563492063492062,0.17511883541295306,control,1
2.2777777777777777,7.07554339233584,0.2119653164296021,0.12454229797979798,real,1
2.6666666666666665,6.0438926810017435,0.12684704184704185,0.17354797979797978,reverse,1
2.6666666666666665,6.740539745353909,0.12826515887740378,0.15516705516705515,mid,1
2.7222222222222223,7.15108325301512,0.13091450216450215,0.10928571428571429,control,2
2.8333333333333335,7.304283916775727,0.12335858585858586,0.10246913580246914,real,2
2.388888888888889,6.144581042759416,0.14674403610573825,0.17586441336441336,reverse,2
2.9444444444444446,6.674331270367012,0.1312049062049062,0.11595318261984928,mid,2
2.2222222222222223,6.937099216460753,0.1673280423280423,0.13265993265993264,control,3
1.7777777777777777,6.599310725622811,0.1624469806287988,0.11182659932659933,real,3
1.9444444444444444,5.715179579558251,0.1385577385577385,0.13539562289562287,reverse,3
2.7222222222222223,7.188695145165915,0.12095175356044922,0.12373737373737374,mid,3
2.611111111111111,7.418915556261352,0.14597222222222223,0.11473063973063972,control,4
2.9444444444444446,8.188889246385576,0.11770232082732084,0.11454545454545455,real,4
2.888888888888889,6.5093702603641805,0.12200405414691128,0.09823232323232324,reverse,4
3.3333333333333335,7.2958805939319875,0.13150477994227994,0.10650953984287317,mid,4
2.0,7.539587142523221,0.17103174603174603,0.12370129870129869,control,5
2.388888888888889,7.172034786434987,0.14854819976771194,0.11582491582491583,real,5
2.111111111111111,6.541876454529161,0.14499654934437545,0.15158402203856747,reverse,5
2.5,7.207552392709204,0.11697970488293069,0.11088154269972451,mid,5
2.9444444444444446,5.9952645955568835,0.1375661375661376,0.1904232804232804,control,1
2.5,5.409998022096785,0.12930337206652992,0.18273358585858587,real,1
1.6666666666666667,5.721411585387964,0.2059416217310954,0.13842319296864752,reverse,1
2.4444444444444446,5.4356183438419885,0.15929951690821256,0.17348484848484846,mid,1
2.6666666666666665,7.674184459209856,0.14307220557220557,0.11067821067821068,control,2
2.4444444444444446,7.011434710014977,0.1311395202020202,0.1142977392977393,real,2
1.9444444444444444,6.1879131967748195,0.1736258083480305,0.10222025449298176,reverse,2
2.888888888888889,7.083788164379843,0.15368155236576286,0.16691919191919194,mid,2
2.4444444444444446,6.53832944909431,0.14250749250749248,0.14463383838383836,control,3
2.0,5.774342904106702,0.12246512746512746,0.11403093434343434,real,3
1.9444444444444444,5.4144776680491615,0.18336840628507298,0.16345959595959594,reverse,3
2.9444444444444446,6.425564608389253,0.11948215925488652,0.12748917748917749,mid,3
3.0,7.662845011192819,0.12229888167388167,0.11976911976911976,control,4
2.4444444444444446,6.1673988647962865,0.12321815089672232,0.1158249158249158,real,4
3.0555555555555554,6.744686745333442,0.14867632367632366,0.14675925925925926,reverse,4
3.1666666666666665,6.215338512527247,0.12686187269520602,0.13360881542699724,mid,4
2.111111111111111,7.541453279382422,0.1493716931216931,0.13813131313131313,control,5
2.5,6.0068919451969025,0.12815806878306876,0.14931129476584018,real,5
2.1666666666666665,6.764658411949823,0.1601313340443775,0.14393939393939392,reverse,5
